Intensidad,Promedio,Sqrt promedio,Std
2,8.4,2.898275349237888,1.8973665961010273
3,21.9,4.679743582719036,3.21282153600573
4,60.00000000000001,7.745966692414834,5.497474167490214
5,119.89999999999999,10.94988584415381,7.202622979011033
6,208.1,14.425671561490647,13.084766375870494
7,321.49999999999994,17.930421077041107,11.928024890055259
8,495.5,22.259829289552066,16.781272630855835
9,921.3494394397816,30.353738475512067,26.108092312357545
10,600.4269302264444,24.50361055490485,19.57142220664456
11,1260.35864011812,35.50153010953359,25.61836243534112
12,949.4121176015196,30.81253182718875,25.045992979593557
