Conteos
25.0
26.0
25.0
21.0
24.0
25.0
27.0
23.0
27.0
26.0
25.0
28.0
25.0
26.0
21.0
19.0
21.0
15.0
21.0
22.0
21.0
26.0
25.0
23.0
24.0
20.0
24.0
22.0
21.0
23.0
23.0
24.0
18.0
20.0
25.0
24.0
19.0
15.0
27.0
21.0
21.0
21.0
37.0
18.0
32.0
24.0
22.0
24.0
25.0
18.0
25.0
26.0
29.0
30.0
17.0
16.0
24.0
32.0
29.0
30.0
28.0
28.0
21.0
17.0
27.0
28.0
18.0
31.0
26.0
19.0
27.0
24.0
35.0
30.0
13.0
25.0
15.0
24.0
19.0
27.0
